id,nome
443,"São Damião"
444,Custodinha
445,"Boa União I"
446,"Conjunto São Francisco de Assis"
447,"Vila Petrópolis"
448,"Conjunto Providência"
449,"Marieta II"
450,"Vila Engenho Nogueira"
451,"Vila Jardim Montanhês"
452,"Vila das Oliveiras"
453,"Conjunto Serra Verde"
454,"Camponesa III"
455,"Vila Jardim Leblon"
456,"Vila Tirol"
457,"Barão Homem de Melo III"
458,"CDI Jatobá"
459,"Vila Madre Gertrudes V"
460,"Vila Rica"
461,Grota
462,"Vila Betânia"
463,"Vila São Dimas"
464,"Vila Batik"
465,"Barão Homem de Melo IV"
466,"Vila Ipiranga"
467,"Vila São Geraldo"
468,"Boa União II"
469,"Cidade Jardim Taquaril"
470,"Nossa Senhora do Rosário"
471,"Vila Canto do Sabiá"
472,Laranjeiras
473,"Pindura Saia"
474,"Vila Nova Cachoeirinha II"
475,"Vila do Pombal"
476,"Santa Isabel"
477,"Vila Satélite"
478,"Várzea da Palma"
479,"Camponesa I"
480,"Vila Real I"
481,Bacurau
482,"Nova América"
483,"Vila Nova Gameleira III"
484,Lorena
485,"Vila Puc"
486,"Vila Fumec"
487,"Vila São Francisco"
488,"Mala e Cuia"
489,"Vila Suzana II"
490,Maravilha
491,"Cônego Pinheiro A"
492,Baleia
493,Xangri-lá
494,Belém
495,"Bispo de Maura"
496,"Campus UFMG"
497,Guanabara
498,"Lagoa da Pampulha"
499,Sumaré
500,"Vila Vera Cruz I"
501,"Vila Vera Cruz II"
